Type,Amount,WaitTimeNanos
Consumer,36358,42
Producer,31378,57758416
Producer,81412,57741333
Consumer,39080,42
Consumer,45568,5670667
Producer,41681,57748750
Producer,43967,57735917
Consumer,37444,5686542
Consumer,75761,5631083
Producer,83867,57761125
Producer,1631,57745916
Consumer,53118,5603375
Producer,86533,57776333
Consumer,41998,12538292
Producer,10832,57777042
Consumer,43620,5615708
Producer,14891,57796500
Consumer,2309,42
Producer,20712,58035708
Consumer,29831,125
Consumer,28540,5871916
Producer,8840,58047042
Consumer,6673,41
Producer,27075,58038583
Consumer,28921,5893667
Producer,37976,58032625
Consumer,34331,84
Producer,64686,58039042
Consumer,26229,5904292
Producer,94957,58039833
Consumer,56438,5859500
Producer,17555,58014875
Consumer,82442,16869583
Producer,33288,57998167
Producer,17485,58003791
Consumer,83939,16712750
Producer,55205,58024500
Consumer,4828,42
Producer,22204,58664959
Consumer,33132,42
Producer,15007,58677167
Consumer,23701,208
Producer,92722,58703750
Consumer,76590,5556417
Consumer,48675,83
Producer,63240,58704750
Producer,10138,58694917
Consumer,23399,0
Producer,78192,59084875
Consumer,80997,5864584
Consumer,34267,167
Producer,2593,59087875
Producer,19202,59077500
Consumer,3340,41
Producer,68894,59107042
Consumer,49139,5851167
Producer,67554,59104333
Consumer,39686,42
Consumer,44987,5838416
Producer,44882,59107958
Producer,66839,59104125
Consumer,70179,5873416
Consumer,71829,17341917
Producer,27925,59178916
Producer,27499,59190583
Consumer,25473,42
Producer,52987,59300334
Consumer,51615,167
Producer,56998,59323208
Consumer,80912,19488500
Producer,57202,59347500
Consumer,38963,5622709
Producer,25290,59357125
Consumer,51291,41
Producer,18432,59587375
Consumer,9230,0
Producer,77713,60083875
Consumer,53182,125
Producer,54155,60104000
Consumer,43691,42
Producer,87337,60107333
Consumer,91990,6190125
Producer,494,60106667
Consumer,24960,250
Producer,64588,60122500
Consumer,62173,83
Producer,95156,60220000
Consumer,59322,6286333
Producer,52392,60236375
Consumer,69165,13421875
Producer,83398,60240000
Consumer,20350,125
Consumer,56242,6302292
Producer,64229,60239875
Producer,81378,60223208
Consumer,24979,6305167
Consumer,96923,6292000
Producer,24817,60250375
Producer,27938,60252375
Consumer,91526,18077125
Producer,48210,60287208
Consumer,70697,167
Producer,53088,60287209
Consumer,8334,125
Producer,6116,60486792
Consumer,13650,125
Producer,91444,60481750
Consumer,48029,18270084
Producer,65380,60476250
Consumer,88253,18135083
Producer,81296,60536750
Consumer,81649,6546459
Producer,93553,60531542
Consumer,60213,6267500
