Type,Amount,WaitTimeNanos
Producer,6277,47204042
Consumer,41883,292
Consumer,93986,250
Producer,76517,47405250
Producer,31979,47405333
Consumer,4767,375
Consumer,15174,209
Consumer,97789,208
Producer,84465,47593292
Producer,51305,47562167
Consumer,83680,250
Producer,98609,47582791
Producer,824,47563667
Consumer,35527,417
Consumer,92275,209
Producer,66403,47679708
Producer,9649,47669084
Consumer,25024,125
Producer,31014,47651041
Consumer,97272,250
Producer,95425,47747125
Producer,5339,47750375
Consumer,63689,542
Producer,26920,47741875
Producer,6220,47737333
Producer,61742,47730792
Consumer,6056,333
Consumer,48762,42
Producer,29203,48037875
Producer,28318,48030375
Consumer,69203,4791
Producer,61215,48104666
Producer,8142,48090083
Producer,5071,48083708
Consumer,40704,250
Producer,37077,48112083
Consumer,94832,333
Producer,94992,48176500
Consumer,91034,167
Producer,3347,48189500
Producer,68388,48182375
Consumer,89565,208
Producer,89896,48401167
Consumer,23163,458
Consumer,54017,41
Producer,85887,48496541
Consumer,29839,250
Producer,25905,48521333
Consumer,27876,458
Producer,51626,48522333
Consumer,80475,83
Producer,57185,48575125
Consumer,79919,542
Producer,29727,48598625
Consumer,68657,458
Producer,69343,48618084
Producer,13838,48613250
Producer,47521,48575375
Consumer,69070,208
Producer,25877,48714833
Consumer,47749,125
Producer,99065,48855250
Consumer,94075,375
Producer,71488,48904666
Producer,12953,48907334
Consumer,19099,42
Consumer,89470,41
Producer,95010,48967833
Consumer,41718,333
Producer,64580,48998417
Consumer,85106,250
Producer,70488,48995125
Consumer,8552,42
Consumer,4137,333
Consumer,86947,459
Producer,74587,49405750
Consumer,41550,292
Producer,59807,49429208
Consumer,99330,458
Producer,93772,49461459
Consumer,11217,292
Producer,19557,49487625
Consumer,44572,417
Producer,56363,49495958
Consumer,26119,292
Consumer,46221,0
Producer,57749,49787750
Consumer,43776,375
Producer,34719,49818291
Producer,25793,49814459
Consumer,96457,250
Producer,49012,49965083
Consumer,59561,84
Consumer,25250,83
Producer,83803,50020917
Consumer,15100,209
Producer,64941,50143625
Consumer,13947,83
Consumer,40569,42
Producer,34819,50231125
Consumer,38067,125
Producer,25893,50222916
Consumer,9550,208
Consumer,32276,83
Producer,80043,50261042
Consumer,27127,166
Consumer,33580,42
Producer,57987,50310000
Consumer,27805,83
Consumer,59199,167
Producer,79868,50341500
Consumer,44212,458
Consumer,91280,41
Producer,97727,50380375
Consumer,42675,292
Consumer,69584,41
Producer,99080,50450292
Consumer,62978,125
Producer,82914,50471750
Consumer,79167,208
Producer,86869,50653042
Consumer,59675,209
Producer,24217,50664041
Producer,68704,50656000
Consumer,76455,84
Producer,13479,50674583
Consumer,17314,83
Producer,65911,50702417
Consumer,33256,42
Consumer,5151,250
Consumer,23364,41
Consumer,85126,334
Producer,97122,51125875
Consumer,5373,208
Consumer,83980,791
Producer,76225,51182834
Producer,40761,51171417
Consumer,13023,208
Consumer,63709,84
Producer,43357,51188625
Producer,71556,51188667
Consumer,91251,250
Producer,72750,51345667
Consumer,58759,42
Producer,15453,51357875
Consumer,72718,83
Producer,53451,51348917
Producer,50118,51347250
Consumer,11294,416
Consumer,81924,291
Producer,69996,51375208
Consumer,2843,83
Consumer,58354,42
Producer,94190,51746708
Consumer,10113,167
Producer,13444,51731042
Producer,17910,51726125
Consumer,77976,167
Consumer,70749,42
Producer,65219,51747833
Producer,28083,51730542
Producer,52029,51709542
Consumer,15829,42
Consumer,30275,125
Consumer,68422,42
Producer,85596,51903167
Consumer,11148,417
Consumer,50987,417
Producer,83470,52138375
Consumer,38294,42
Producer,10994,52161000
Consumer,3829,1750
Consumer,20045,125
Producer,47351,52355750
Consumer,7519,458
Producer,22349,52379375
Consumer,99286,334
Producer,70605,52415916
Producer,106,52405750
Consumer,86727,625
Producer,57871,52445083
Consumer,94748,250
Producer,50864,52474583
Producer,5359,52460959
Producer,32020,52436917
Consumer,15964,292
Consumer,67644,333
Producer,97055,52483250
Producer,32589,52466750
Consumer,61476,250
Consumer,2795,84
Producer,24268,52524375
Consumer,56364,125
Producer,83832,52668041
Consumer,47428,41
Producer,11148,52674583
Consumer,10412,83
Consumer,24318,500
Producer,92884,52943125
Consumer,72128,292
Producer,69341,52956292
Consumer,30775,83
Consumer,53481,83
Producer,70583,53004084
Consumer,61102,208
Producer,68243,53044833
Consumer,83310,125
Producer,23042,53190333
Producer,75133,53181500
Consumer,90287,375
Producer,27962,53185958
Producer,56377,53174583
Consumer,4489,375
Consumer,31168,375
Consumer,73794,125
Producer,48944,53356833
Consumer,9666,292
Producer,9210,53351958
Producer,2300,53346459
Producer,18575,53328084
Consumer,58683,166
Producer,74543,53470084
Consumer,83752,83
Producer,68010,53475500
Consumer,68745,0
Producer,58670,53605208
Consumer,85793,375
Producer,23571,53610583
Producer,92501,53606500
Producer,8696,53590250
Consumer,73617,375
Producer,22281,53665333
Consumer,76345,84
Producer,82348,53669917
Producer,3970,53646542
Consumer,76221,83
Producer,66859,53649208
Consumer,24990,83
Producer,88399,53840542
Consumer,58031,83
Consumer,52777,42
Producer,72691,53885625
Producer,4869,53869458
Consumer,39991,83
Producer,69762,53879209
Consumer,86393,83
Producer,71646,53893958
Consumer,1991,458
Producer,26637,53928375
Consumer,49360,292
Consumer,39350,375
Producer,76941,53976792
Producer,5336,53980875
Consumer,96153,84
Consumer,65573,83
Producer,16827,54157750
Consumer,34676,167
Producer,68988,54146917
Producer,68482,54137833
Producer,48227,54123791
